participant,session,condition,totalAmountOfMovementP1,totalAmountOfMovementP2
7,21,integration,1.5178128242621471,0.7042433760904426
7,22,integration,1.528216776138775,0.7875644627480481
7,23,integration,1.70122154697632,0.6756387821962595
7,24,integration,1.4986424484637566,0.9913352210850436
7,25,integration,1.4835051644473871,1.3304964517413334
7,26,integration,1.607690764552717,0.8063156666078597
7,27,integration,1.4010235693768496,1.1717756535881456
7,28,integration,1.6005726545186882,0.9019960833881226
7,29,integration,1.488918362949532,1.1418866885361414
7,30,integration,1.584041501686672,1.3784160203828966
7,31,integration,1.677240962799221,1.0195439726244278
7,32,integration,1.4548616450798408,1.142613875880619
7,1,compatibility,1.3518420175050505,1.2906644228483746
7,2,compatibility,1.82903133536118,1.0529452917931128
7,1,post,1.2531609888631987,
7,2,post,1.2692979560396729,
7,3,post,1.0878032812976033,
7,4,post,1.1567036399625232,
7,5,post,1.230273774120001,
7,6,post,1.032479017830492,
7,7,post,1.0950802335538845,
7,8,post,1.0201128596818645,
7,9,post,0.9951574682376774,
7,10,post,0.9689982454698334,
8,1,pre,2.3452628532475512,
8,2,pre,1.6090364140272495,
8,3,pre,1.8704732517261864,
8,4,pre,1.801278566275361,
8,5,pre,1.6378060509388452,
8,6,pre,1.392898030626247,
8,7,pre,2.1459467629407176,
8,8,pre,2.0404583052996514,
8,9,pre,1.6513964746670524,
8,10,pre,1.8212607042894693,
8,1,integration,1.0289197458582746,1.9850085227401628
8,2,integration,0.8098154379092768,1.5554874597473178
8,3,integration,0.9810771145778856,2.05473706664038
8,4,integration,1.029428415152112,1.807622807296065
8,5,integration,0.972793337597752,1.531123880309496
8,6,integration,1.1631153814644437,1.6551834612484917
8,7,integration,0.7237372203939074,2.019819338875763
8,8,integration,0.9811579094153148,2.0621937259322456
8,9,integration,0.8670952193002606,2.179536694451908
8,10,integration,0.8325191038887332,1.726390747940876
8,11,integration,0.967901871749315,1.9411543613201785
8,12,integration,0.8188071695321526,1.751904149409129
8,13,integration,0.7392159217384713,2.0936025508694964
8,14,integration,0.7592231788497397,2.1649296059764707
8,15,integration,0.9204640155181848,2.0142608420934147
8,16,integration,0.9746348514449176,1.5986208221717684
8,17,integration,0.9035364795131736,1.6229899612331993
8,18,integration,0.6256173522886419,1.835172487219373
8,19,integration,0.9728085424247376,1.7026191921649143
8,20,integration,1.0925964027166342,1.893532947336244
8,21,integration,1.2115314619526742,1.7875967366709924
8,22,integration,0.8546135921275004,1.8231117665898424
8,23,integration,1.2904499805355902,1.6277222227801056
8,24,integration,1.0027570228267169,2.201673559582083
8,25,integration,0.8786283351630912,2.039085971739791
8,26,integration,1.0934589517041098,1.6646014919518397
8,27,integration,0.8625352470018741,1.7950850511198078
8,28,integration,0.8861595145860008,1.8646536671492104
8,29,integration,1.13884575392665,1.827564013772373
8,30,integration,0.7791545292314236,1.7913965396384366
8,31,integration,1.0182756991372868,1.664346839467762
